Date,Open,High,Low,Close,Volume,Adj Close
1993-03-22,1677.199951,1679.199951,1661.699951,1664.300049,000,1664.300049
1993-03-19,1673.099976,1678.50,1671.400024,1677.099976,000,1677.099976
1993-03-18,1675.599976,1680.00,1667.50,1670.00,000,1670.00
1993-03-17,1659.300049,1676.900024,1659.300049,1675.599976,000,1675.599976
1993-03-16,1626.400024,1659.300049,1626.400024,1659.300049,000,1659.300049
1993-03-15,1661.50,1661.50,1613.800049,1626.400024,000,1626.400024
1993-03-12,1661.099976,1671.099976,1653.00,1661.50,000,1661.50
1993-03-11,1647.50,1661.400024,1647.099976,1661.099976,000,1661.099976
1993-03-10,1633.699951,1647.50,1633.699951,1647.50,000,1647.50
1993-03-09,1617.099976,1633.699951,1617.099976,1633.699951,000,1633.699951
1993-03-08,1612.50,1620.50,1609.699951,1617.099976,000,1617.099976
1993-03-05,1622.900024,1622.900024,1610.00,1613.599976,000,1613.599976
1993-03-04,1626.099976,1626.099976,1618.00,1622.900024,000,1622.900024
1993-03-03,1645.00,1649.199951,1624.00,1626.099976,000,1626.099976
1993-03-02,1639.300049,1645.50,1634.00,1645.00,000,1645.00
1993-03-01,1609.50,1639.800049,1609.50,1639.300049,000,1639.300049
1993-02-26,1606.900024,1611.400024,1598.800049,1609.50,000,1609.50
1993-02-25,1605.400024,1608.800049,1596.50,1606.900024,000,1606.900024
1993-02-24,1608.300049,1608.300049,1603.800049,1604.800049,000,1604.800049
1993-02-23,1604.900024,1614.699951,1604.900024,1608.300049,000,1608.300049
1993-02-22,1594.699951,1606.300049,1594.699951,1604.900024,000,1604.900024
1993-02-19,1607.00,1610.599976,1592.199951,1594.699951,000,1594.699951
1993-02-18,1601.300049,1609.199951,1600.300049,1607.00,000,1607.00
1993-02-17,1612.099976,1612.099976,1593.300049,1601.300049,000,1601.300049
1993-02-16,1596.50,1613.800049,1596.50,1612.099976,000,1612.099976
1993-02-15,1603.50,1603.50,1590.199951,1596.50,000,1596.50
1993-02-12,1599.099976,1606.199951,1599.099976,1603.50,000,1603.50
1993-02-11,1590.599976,1604.800049,1590.599976,1599.099976,000,1599.099976
1993-02-10,1583.900024,1591.50,1580.400024,1590.599976,000,1590.599976
1993-02-09,1559.400024,1609.099976,1556.699951,1583.900024,000,1583.900024
1993-02-08,1543.300049,1559.400024,1543.300049,1559.400024,000,1559.400024
1993-02-05,1531.400024,1546.599976,1531.400024,1543.300049,000,1543.300049
1993-02-04,1530.199951,1539.00,1529.400024,1530.00,000,1530.00
1993-02-03,1530.199951,1531.099976,1525.00,1530.199951,000,1530.199951
1993-02-02,1530.50,1534.50,1527.800049,1530.199951,000,1530.199951
1993-02-01,1528.199951,1529.099976,1523.50,1529.099976,000,1529.099976
1993-01-29,1526.699951,1529.699951,1522.400024,1528.199951,000,1528.199951
1993-01-28,1534.800049,1534.800049,1526.00,1526.699951,000,1526.699951
1993-01-27,1533.300049,1541.800049,1533.300049,1534.800049,000,1534.800049
1993-01-26,1523.400024,1529.300049,1523.400024,1529.199951,000,1529.199951
1993-01-25,1523.00,1532.00,1522.199951,1523.400024,000,1523.400024
1993-01-22,1519.900024,1523.50,1517.699951,1523.00,000,1523.00
1993-01-21,1521.800049,1523.900024,1514.300049,1519.099976,000,1519.099976
1993-01-20,1518.099976,1523.099976,1511.699951,1521.800049,000,1521.800049
1993-01-19,1528.800049,1528.800049,1515.00,1519.099976,000,1519.099976
1993-01-18,1524.50,1529.400024,1523.599976,1528.800049,000,1528.800049
1993-01-15,1507.400024,1524.50,1507.400024,1524.50,000,1524.50
1993-01-14,1495.00,1508.00,1495.00,1507.400024,000,1507.400024
1993-01-13,1509.400024,1509.400024,1491.699951,1495.00,000,1495.00
1993-01-12,1514.099976,1523.099976,1507.199951,1509.400024,000,1509.400024
1993-01-11,1502.300049,1514.099976,1487.400024,1514.099976,000,1514.099976
1993-01-08,1530.900024,1530.900024,1500.800049,1502.300049,000,1502.300049
1993-01-07,1542.099976,1542.099976,1526.50,1530.900024,000,1530.900024
1993-01-06,1564.800049,1564.800049,1536.099976,1542.099976,000,1542.099976
1993-01-05,1560.50,1574.900024,1560.50,1564.800049,000,1564.800049
1993-01-04,1549.900024,1560.50,1545.900024,1560.50,000,1560.50
1992-12-31,1538.199951,1549.900024,1538.199951,1549.900024,000,1549.900024
1992-12-30,1539.00,1542.00,1535.800049,1538.199951,000,1538.199951
1992-12-29,1536.199951,1544.099976,1535.300049,1539.00,000,1539.00
1992-12-24,1524.800049,1536.199951,1523.00,1536.199951,000,1536.199951
1992-12-23,1528.300049,1530.400024,1523.699951,1524.800049,000,1524.800049
1992-12-22,1537.00,1537.00,1526.900024,1530.099976,000,1530.099976
1992-12-21,1532.800049,1541.599976,1532.800049,1537.00,000,1537.00
1992-12-18,1502.900024,1517.699951,1502.900024,1515.699951,000,1515.699951
1992-12-17,1497.00,1503.699951,1490.900024,1499.400024,000,1499.400024
1992-12-16,1509.599976,1509.599976,1495.199951,1497.00,000,1497.00
1992-12-15,1512.400024,1520.400024,1509.199951,1509.599976,000,1509.599976
1992-12-14,1500.699951,1513.400024,1493.900024,1512.400024,000,1512.400024
1992-12-11,1501.300049,1504.00,1494.900024,1500.699951,000,1500.699951
1992-12-10,1482.099976,1501.800049,1482.099976,1501.300049,000,1501.300049
1992-12-09,1468.900024,1483.099976,1468.900024,1482.099976,000,1482.099976
1992-12-08,1444.699951,1473.800049,1444.699951,1468.900024,000,1468.900024
1992-12-07,1435.199951,1444.900024,1435.199951,1444.699951,000,1444.699951
1992-12-04,1433.800049,1435.199951,1432.00,1435.199951,000,1435.199951
1992-12-03,1438.50,1438.900024,1433.199951,1433.800049,000,1433.800049
1992-12-02,1444.300049,1444.300049,1436.199951,1438.50,000,1438.50
1992-12-01,1448.099976,1449.300049,1439.099976,1444.300049,000,1444.300049
1992-11-30,1450.800049,1456.50,1446.699951,1448.099976,000,1448.099976
1992-11-27,1449.00,1450.800049,1442.599976,1450.800049,000,1450.800049
1992-11-26,1459.199951,1463.50,1449.300049,1450.900024,000,1450.900024
1992-11-25,1450.199951,1464.099976,1450.199951,1459.199951,000,1459.199951
1992-11-24,1447.199951,1454.400024,1446.300049,1450.199951,000,1450.199951
1992-11-23,1410.099976,1456.800049,1410.099976,1446.400024,000,1446.400024
1992-11-20,1391.800049,1411.599976,1391.800049,1410.099976,000,1410.099976
1992-11-19,1375.099976,1392.00,1375.099976,1391.800049,000,1391.800049
1992-11-18,1365.099976,1380.900024,1365.099976,1375.099976,000,1375.099976
1992-11-17,1357.199951,1368.599976,1356.099976,1365.099976,000,1365.099976
1992-11-16,1373.00,1373.00,1355.800049,1357.199951,000,1357.199951
1992-11-13,1375.300049,1377.699951,1368.900024,1371.699951,000,1371.699951
1992-11-12,1394.50,1402.199951,1373.400024,1375.300049,000,1375.300049
1992-11-11,1401.300049,1402.099976,1387.00,1394.50,000,1394.50
1992-11-10,1419.50,1419.50,1389.50,1397.599976,000,1397.599976
1992-11-09,1423.400024,1426.699951,1419.50,1419.50,000,1419.50
1992-11-06,1429.300049,1429.50,1421.599976,1423.400024,000,1423.400024
1992-11-05,1431.099976,1434.800049,1421.300049,1432.300049,000,1432.300049
1992-11-04,1412.900024,1431.300049,1412.900024,1431.099976,000,1431.099976
1992-11-03,1410.199951,1413.00,1403.699951,1412.800049,000,1412.800049
1992-11-02,1427.800049,1431.00,1409.50,1410.199951,000,1410.199951
1992-10-30,1427.199951,1428.400024,1418.699951,1425.800049,000,1425.800049
1992-10-29,1418.400024,1421.699951,1410.900024,1417.800049,000,1417.800049
1992-10-28,1436.599976,1436.599976,1416.800049,1418.400024,000,1418.400024
1992-10-27,1451.400024,1451.400024,1433.699951,1436.599976,000,1436.599976
1992-10-26,1455.50,1458.00,1449.800049,1450.699951,000,1450.699951
1992-10-23,1448.199951,1458.400024,1448.199951,1455.50,000,1455.50
1992-10-22,1443.900024,1456.300049,1443.900024,1448.199951,000,1448.199951
1992-10-21,1426.900024,1443.900024,1426.900024,1443.900024,000,1443.900024
1992-10-20,1417.599976,1430.50,1417.599976,1426.900024,000,1426.900024
1992-10-19,1410.00,1419.00,1410.00,1417.599976,000,1417.599976
1992-10-16,1452.300049,1452.300049,1418.800049,1419.800049,000,1419.800049
1992-10-15,1452.300049,1452.300049,1438.900024,1439.400024,000,1439.400024
1992-10-14,1456.900024,1457.800049,1452.900024,1453.800049,000,1453.800049
1992-10-13,1463.00,1466.00,1455.599976,1456.900024,000,1456.900024
1992-10-12,1463.50,1465.800049,1460.099976,1463.00,000,1463.00
1992-10-09,1465.599976,1470.599976,1463.599976,1466.199951,000,1466.199951
1992-10-08,1455.400024,1466.199951,1454.800049,1465.599976,000,1465.599976
1992-10-07,1452.400024,1460.099976,1452.400024,1455.400024,000,1455.400024
1992-10-06,1467.099976,1467.099976,1447.900024,1452.400024,000,1452.400024
1992-10-05,1483.00,1483.00,1465.900024,1467.099976,000,1467.099976
1992-10-02,1472.099976,1484.199951,1472.099976,1483.00,000,1483.00
1992-10-01,1485.00,1485.00,1461.400024,1472.099976,000,1472.099976
1992-09-30,1487.699951,1489.699951,1484.099976,1485.00,000,1485.00
1992-09-29,1496.50,1497.099976,1483.400024,1487.699951,000,1487.699951
1992-09-28,1493.599976,1498.300049,1485.800049,1496.50,000,1496.50
1992-09-25,1507.199951,1510.900024,1496.400024,1496.400024,000,1496.400024
1992-09-24,1500.400024,1507.900024,1493.699951,1507.199951,000,1507.199951
1992-09-23,1520.800049,1520.800049,1503.099976,1505.00,000,1505.00
1992-09-22,1522.900024,1523.099976,1517.599976,1520.800049,000,1520.800049
1992-09-21,1527.300049,1533.599976,1527.300049,1531.599976,000,1531.599976
1992-09-18,1511.800049,1525.50,1511.800049,1523.50,000,1523.50
1992-09-17,1506.400024,1512.699951,1502.50,1511.800049,000,1511.800049
1992-09-16,1530.400024,1530.400024,1504.199951,1506.400024,000,1506.400024
1992-09-15,1540.099976,1540.099976,1521.699951,1530.400024,000,1530.400024
1992-09-14,1501.199951,1537.599976,1501.199951,1536.699951,000,1536.699951
1992-09-11,1484.00,1511.599976,1484.00,1501.199951,000,1501.199951
1992-09-10,1478.900024,1484.099976,1462.300049,1484.00,000,1484.00
1992-09-09,1501.800049,1501.800049,1472.50,1478.900024,000,1478.900024
1992-09-08,1514.900024,1515.300049,1496.400024,1501.800049,000,1501.800049
1992-09-07,1530.300049,1530.300049,1514.900024,1514.900024,000,1514.900024
1992-09-04,1526.300049,1535.900024,1526.300049,1530.300049,000,1530.300049
1992-09-03,1528.599976,1533.00,1521.199951,1526.300049,000,1526.300049
