Date,Open,High,Low,Close
06/29/16,10254.86,10362.06,10254.86,10350.53
06/28/16,10073.15,10161.16,10063.83,10161.16
06/27/16,10084.48,10084.48,9918.72,9973.54
06/24/16,10335.92,10360.10,10164.42,10183.52
06/23/16,10573.47,10641.17,10561.79,10641.17
06/22/16,10507.94,10549.96,10469.71,10473.06
06/21/16,10481.16,10521.59,10448.38,10490.78
06/20/16,10456.92,10527.78,10448.02,10450.03
06/17/16,10343.61,10363.98,10292.67,10347.94
06/16/16,10237.93,10328.89,10166.98,10322.84
06/15/16,10294.68,10365.76,10289.31,10297.16
06/14/16,10310.08,10340.34,10241.19,10294.59
06/13/16,10400.15,10452.62,10345.37,10349.18
06/10/16,10501.57,10501.57,10417.11,10446.10
06/09/16,10581.22,10599.33,10553.26,10589.82
06/08/16,10620.19,10648.05,10610.21,10638.36
06/07/16,10554.59,10626.83,10554.59,10599.22
06/06/16,10508.50,10568.85,10508.50,10554.82
06/03/16,10477.78,10504.46,10417.90,10487.94
06/02/16,10424.68,10487.61,10403.51,10487.58
06/01/16,10385.93,10462.00,10369.50,10454.93
05/31/16,10479.88,10496.94,10406.65,10441.00
05/27/16,10437.97,10469.53,10436.56,10469.52
05/26/16,10462.28,10475.77,10426.18,10439.61
05/25/16,10399.12,10465.64,10399.12,10446.59
05/24/16,10275.79,10370.24,10275.79,10353.56
05/23/16,10237.99,10259.89,10222.31,10226.56
05/20/16,10224.75,10272.68,10224.75,10250.49
05/19/16,10189.77,10209.84,10119.65,10192.48
05/18/16,10229.98,10320.10,10183.31,10239.65
05/17/16,10312.69,10334.74,10226.62,10257.61
05/16/16,10243.20,10355.25,10243.20,10332.47
05/13/16,10305.85,10334.39,10210.26,10228.06
05/12/16,10375.88,10399.94,10283.48,10334.38
05/11/16,10391.93,10408.93,10332.23,10332.23
05/10/16,10323.27,10424.68,10323.27,10424.11
05/09/16,10300.66,10325.05,10261.12,10291.59
05/06/16,10280.99,10315.92,10230.50,10308.83
05/05/16,10303.04,10340.46,10254.72,10281.32
05/04/16,10302.68,10337.21,10257.75,10286.24
05/03/16,10432.24,10432.24,10323.24,10365.83
05/02/16,10450.13,10503.41,10430.22,10496.33
04/29/16,10480.22,10480.22,10370.35,10436.92
04/28/16,10521.17,10577.90,10461.53,10480.45
04/27/16,10528.48,10593.21,10507.59,10571.83
04/26/16,10492.57,10525.38,10477.79,10522.58
04/25/16,10487.83,10487.82,10424.19,10465.65
04/22/16,10464.19,10520.00,10464.19,10511.00
04/21/16,10524.49,10536.69,10440.47,10454.82
04/20/16,10517.07,10572.24,10489.03,10527.79
04/19/16,10463.64,10528.64,10424.93,10517.30
04/18/16,10315.65,10427.16,10304.22,10424.93
04/15/16,10359.58,10359.58,10332.87,10355.57
04/14/16,10359.19,10377.66,10334.45,10360.24
04/13/16,10271.66,10362.13,10271.66,10359.51
04/12/16,10114.58,10257.30,10114.58,10238.69
04/11/16,10154.08,10210.56,10114.45,10114.58
04/08/16,10108.71,10170.97,10093.28,10119.69
04/07/16,10112.98,10117.16,10004.77,10045.15
04/06/16,10062.84,10162.30,10044.41,10159.85
04/05/16,10104.77,10104.77,10050.65,10061.08
04/04/16,10227.12,10234.16,10168.77,10183.00
04/01/16,10132.58,10231.08,10085.25,10219.96
03/31/16,10236.80,10248.82,10198.91,10207.38
03/30/16,10245.93,10281.69,10217.98,10236.95
03/29/16,10071.42,10193.73,10048.52,10190.41
03/28/16,10105.12,10128.90,10065.38,10106.44
03/24/16,10032.89,10087.05,10003.98,10086.60
03/23/16,10171.38,10171.38,10096.89,10099.68
03/22/16,10169.90,10226.51,10145.35,10194.20
03/21/16,10204.70,10232.80,10181.85,10219.69
03/18/16,10216.60,10248.07,10198.32,10223.43
03/17/16,10101.65,10216.70,10073.12,10190.40
03/16/16,9986.48,10102.07,9978.89,10084.17
03/15/16,10005.59,10013.70,9970.95,10013.60
03/14/16,10073.33,10097.55,10038.40,10074.27
03/11/16,9988.29,10105.02,9988.29,10104.19
03/10/16,9954.16,10004.33,9826.52,9918.07
03/09/16,9906.84,9946.97,9881.76,9924.81
03/08/16,9952.23,9952.23,9862.33,9868.52
03/07/16,9922.38,10021.78,9911.33,10006.19
03/04/16,9929.33,10010.66,9902.04,9968.41
03/03/16,9828.31,9909.81,9809.17,9907.97
03/02/16,9746.42,9837.64,9725.90,9837.59
03/01/16,9626.88,9771.00,9613.96,9771.00
02/29/16,9615.17,9670.84,9558.85,9559.53
02/26/16,9668.26,9682.93,9607.66,9619.79
02/25/16,9534.74,9625.72,9506.24,9625.27
02/24/16,9411.26,9517.75,9325.24,9506.07
02/23/16,9582.76,9589.73,9485.35,9494.32
02/22/16,9485.77,9623.64,9485.77,9616.32
02/19/16,9465.18,9504.98,9406.54,9485.96
02/18/16,9532.86,9543.75,9483.46,9504.98
02/17/16,9426.76,9551.63,9426.76,9532.28
02/16/16,9317.94,9377.52,9275.73,9375.39
02/12/16,9092.87,9229.68,9089.45,9229.68
02/11/16,9092.91,9092.91,8944.05,9029.88
02/10/16,9221.84,9315.96,9170.93,9176.72
02/09/16,9131.98,9250.65,9109.05,9187.79
02/08/16,9294.88,9294.88,9127.14,9231.33
02/05/16,9499.53,9500.82,9360.94,9390.33
02/04/16,9484.13,9591.30,9465.87,9534.30
02/03/16,9471.79,9513.22,9276.34,9495.22
02/02/16,9532.99,9532.99,9386.12,9413.78
02/01/16,9578.92,9651.20,9514.77,9616.69
01/29/16,9439.34,9632.72,9439.34,9632.70
01/28/16,9374.83,9463.20,9324.15,9397.79
01/27/16,9403.87,9522.61,9321.32,9373.78
01/26/16,9295.34,9436.54,9295.34,9429.11
01/25/16,9393.54,9393.54,9258.66,9262.99
01/22/16,9343.13,9437.79,9343.13,9426.91
01/21/16,9164.17,9311.57,9102.39,9226.57
01/20/16,9214.94,9233.61,8937.99,9156.84
01/19/16,9378.86,9406.35,9226.82,9301.74
01/15/16,9387.54,9387.54,9192.07,9299.62
01/14/16,9405.43,9567.82,9332.26,9516.55
01/13/16,9619.01,9644.45,9349.47,9374.23
01/12/16,9591.31,9630.91,9460.78,9576.52
01/11/16,9575.18,9598.64,9435.82,9527.66
01/08/16,9692.80,9725.90,9513.25,9528.77
01/07/16,9751.35,9791.18,9627.06,9650.42
01/06/16,9907.38,9925.90,9821.34,9868.26
01/05/16,10007.01,10039.96,9959.82,10028.06
01/04/16,10020.05,10020.05,9891.07,10001.56
12/31/15,10186.44,10223.07,10142.34,10143.42
12/30/15,10277.53,10283.97,10218.71,10225.83
12/29/15,10270.38,10318.42,10270.38,10306.60
12/28/15,10225.99,10225.99,10169.09,10217.40
12/24/15,10266.06,10290.36,10242.64,10258.55
12/23/15,10180.62,10277.97,10180.62,10276.28
12/22/15,10052.34,10132.57,10015.98,10112.40
12/21/15,10017.13,10054.43,9961.05,10023.03
